offense_type_id,offense_category_id,incident_address,x,y,long,lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
theft-stln-vehicle-trailer,auto-theft,2000 BLK S KNOX CT,3131603,1672853,-105.0324308,39.6798503,4,421,harvey-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,5305 E COLFAX AVE,3161580,1695109,-104.9254287,39.7404757,2,222,south-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,2500 BLK N ELM ST,3160356,1699691,-104.9296788,39.7530752,2,222,north-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,570 W 44TH AVE,3142093,1708031,-104.9944664,39.7762666,1,112,globeville,1,0,1
theft-stln-vehicle-trailer,auto-theft,2555 S SANTA FE DR,3141934,1669453,-104.9957938,39.6703648,3,313,overland,1,0,1
theft-stln-vehicle-trailer,auto-theft,2322 S FEDERAL BLVD,3133886,1670805,-105.0243578,39.6741955,4,422,college-view-south-platte,1,0,1
theft-stln-vehicle-trailer,auto-theft,900 BLOCK N PEARL ST,3146326,1691640,-104.9797406,39.731205,6,623,capitol-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,1250 N ZUNI ST,3136287,1693358,-105.0154008,39.7360736,1,122,lincoln-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,4900 BLK E CHERRY CREEK S DR,3160412,1681179,-104.9298928,39.7022554,3,322,washington-virginia-vale,1,0,1
theft-stln-vehicle-trailer,auto-theft,4570 N IRONTON ST,3179112,1709616,-104.8627258,39.7799784,5,511,montbello,1,0,1
theft-stln-vehicle-trailer,auto-theft,2000 W COLFAX AVE,3136028,1694571,-105.0162988,39.7394073,1,122,lincoln-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,730 S JASON ST,3141273,1681522,-104.9979049,39.7035071,4,412,athmar-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,3575 RINGSBY CT,3146133,1707299,-104.9801082,39.7741945,1,112,globeville,1,0,1
theft-stln-vehicle-trailer,auto-theft,3600 BLK E 41ST AVE,3156189,1707142,-104.9443366,39.7736001,2,212,elyria-swansea,1,0,1
theft-stln-vehicle-trailer,auto-theft,DELGANY ST / 28TH ST,3143704,1703588,-104.9888239,39.7640451,6,612,five-points,1,0,1
theft-stln-vehicle-trailer,auto-theft,1100 BLK N XENIA ST,3172630,1693164,-104.8861833,39.7349379,2,223,east-colfax,1,0,1
theft-stln-vehicle-trailer,auto-theft,2600 BLOCK S DAYTON WAY,3176356,1668782,-104.8735331,39.6679347,3,323,hampden,1,0,1
theft-stln-vehicle-trailer,auto-theft,1340 W BAYAUD AVE,3139317,1685490,-105.0047797,39.7144295,4,411,valverde,1,0,1
theft-stln-vehicle-trailer,auto-theft,1000 BLK S ELMIRA ST,3176532,1679384,-104.8726478,39.6970361,3,321,windsor,1,0,1
theft-stln-vehicle-trailer,auto-theft,2800 BLK N CLERMONT ST,3158936,1701137,-104.934697,39.757069,2,221,north-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,8500 BLK E MONTVIEW BLVD,3171946,1697631,-104.8885084,39.7472132,2,223,east-colfax,1,0,1
theft-stln-vehicle-trailer,auto-theft,1751 S WASHINGTON ST,3146489,1674972,-104.9795006,39.6854452,3,313,platt-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,700 BLOCK W 4TH AVE,3141583,1688427,-104.9966672,39.722458,3,311,baker,1,0,1
theft-stln-vehicle-trailer,auto-theft,1300 BLK N VALENTIA ST,3171159,1694220,-104.8913884,39.737864,2,223,east-colfax,1,0,1
theft-stln-vehicle-trailer,auto-theft,10255 E 40TH AVE,3177428,1707460,-104.8687705,39.7740922,5,512,central-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,5400 BLK E TENNESSEE AVE,3162363,1680230,-104.9229805,39.6996164,3,322,washington-virginia-vale,1,0,1
theft-stln-vehicle-trailer,auto-theft,4740 N FLORENCE ST,3176689,1711191,-104.8713077,39.7843483,5,511,central-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,7007 E SANDOWN RD,3166763,1707136,-104.9067194,39.7734001,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,3550 S HARLAN ST,3123839,1662748,-105.0601887,39.6522159,4,423,bear-valley,1,0,1
theft-stln-vehicle-trailer,auto-theft,3200 BLK N RALEIGH ST,3128944,1703263,-105.0413322,39.7633692,1,113,west-highland,1,0,1
theft-stln-vehicle-trailer,auto-theft,171 N HAZEL CT,3132795,1687282,-105.0279295,39.7194443,4,411,barnum,1,0,1
theft-stln-vehicle-trailer,auto-theft,200 BLK S PECOS ST,3138959,1684748,-105.0060666,39.7123979,4,411,valverde,1,0,1
theft-stln-vehicle-trailer,auto-theft,7003 E 47TH AVE,3166747,1710566,-104.9066966,39.7828162,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,1200 BLK S JASON ST,3140978,1677781,-104.9990267,39.6932416,4,422,ruby-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,18250 E 51ST AVE,3203045,1712899,-104.7774835,39.7884989,5,522,gateway-green-valley-ranch,1,0,1
theft-stln-vehicle-trailer,auto-theft,900 BLOCK E MISSISSIPPI AVE,3147276,1679020,-104.9766215,39.6965455,3,312,washington-park-west,1,0,1
theft-stln-vehicle-trailer,auto-theft,19000 BLK E 54TH PL,3206290,1715096,-104.7658738,39.7944584,5,523,gateway-green-valley-ranch,1,0,1
theft-stln-vehicle-trailer,auto-theft,1671 N POPLAR ST,3167319,1696076,-104.9049991,39.7430288,2,223,south-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,1200 BLK W CEDAR AVE,3139816,1684892,-105.0030176,39.7127804,4,411,valverde,1,0,1
theft-stln-vehicle-trailer,auto-theft,N JASON ST / W 42ND AVE,3140712,1707283,-104.9993942,39.7742342,1,112,sunnyside,1,0,1
theft-stln-vehicle-trailer,auto-theft,2500 BLK N HOOKER ST,3132471,1700059,-105.0288457,39.7545242,1,121,sloan-lake,1,0,1
theft-stln-vehicle-trailer,auto-theft,5180 E SMITH RD,3160898,1707710,-104.9275715,39.7750791,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,3800 BLK N FOREST ST,3161165,1705771,-104.9266651,39.7697517,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,2100 BLK S PLATTE RIVER DR,3141613,1672242,-104.9968792,39.6780262,3,313,overland,1,0,1
theft-stln-vehicle-trailer,auto-theft,4695 S MONACO ST,3165538,1654188,-104.912296,39.6280689,3,324,southmoor-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,E 39TH AVE / N PONTIAC ST,3167083,1706297,-104.9056005,39.7710912,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,3870 N QUEBEC ST,3168333,1706036,-104.9011599,39.7703522,5,512,central-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,1450 W EVANS AVE,3139258,1672236,-105.005246,39.6780452,4,422,college-view-south-platte,1,0,1
theft-stln-vehicle-trailer,auto-theft,5300 E FLORIDA AVE,3161747,1676284,-104.9252584,39.6887945,3,322,virginia-village,1,0,1
theft-stln-vehicle-trailer,auto-theft,4800 BLOCK W ELLSWORTH AVE,3127018,1686192,-105.0484849,39.7165326,4,411,barnum-west,1,0,1
theft-stln-vehicle-trailer,auto-theft,7977 W TUFTS AVE,3116568,1655944,-105.0861212,39.6336307,4,423,marston,1,0,1
theft-stln-vehicle-trailer,auto-theft,4955 N PEORIA ST,3183326,1712243,-104.8476659,39.7871077,5,511,montbello,1,0,1
theft-stln-vehicle-trailer,auto-theft,200 S UNIVERSITY BLVD,3152329,1684704,-104.9585446,39.712068,3,311,belcaro,1,0,1
theft-stln-vehicle-trailer,auto-theft,3905 N NIAGARA ST,3165539,1706369,-104.9110915,39.7713165,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,800 BLK S QUIVAS ST,3138777,1680382,-105.0067977,39.700415,4,412,athmar-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,2000 BLOCK E TENNESSEE AVE,3150891,1679691,-104.963761,39.6983297,3,312,washington-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,E 64TH AVE / N DUNKIRK ST,3207140,1721832,-104.7626544,39.8129303,U,999,dia,1,0,1
theft-stln-vehicle-trailer,auto-theft,2755 S LOCUST ST,3164354,1668209,-104.9161795,39.6665811,3,323,hampden,1,0,1
theft-stln-vehicle-trailer,auto-theft,4785 N ELATI ST,3142364,1710518,-104.9934529,39.7830896,1,112,globeville,1,0,1
theft-stln-vehicle-trailer,auto-theft,4900 BLOCK N DALLAS ST,3175314,1711966,-104.8761811,39.7865018,5,511,central-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,1900 BLK S SHERMAN ST,3144982,1673555,-104.9848837,39.6815788,3,313,platt-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,4800 N GENEVA ST,3177536,1711365,-104.8682897,39.7848098,5,511,central-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,1104 S SHERIDAN BLVD,3125852,1678879,-105.0527577,39.6964726,4,421,mar-lee,1,0,1
